drugbank_id,id
DB08915,2112
DB06510,2113
DB06536,2114
DB12781,2115
DB09200,2116
DB05983,2117
DB05035,2118
DB04258,2119
DB11526,2121
DB06080,2122
DB12874,2123
DB12200,2124
DB11805,2125
DB04849,2127
DB09330,2128
DB12062,2129
DB11958,2130
DB11865,2131
DB11763,2135
DB12270,2136
DB11904,2137
DB11828,2138
DB03496,2139
DB11817,2140
DB11800,2141
DB11730,2142
DB11718,2143
DB06486,2144
DB11829,2145
DB11967,2146
DB12021,2147
DB05220,2148
DB06075,2149
DB06595,2151
DB04879,2152
DB12010,2153
DB05239,2154
DB12500,2155
DB11697,2156
DB06436,2158
DB12072,2159
DB05928,2160
DB06280,2162
DB11979,2163
DB06629,2164
DB06634,2166
DB12614,2167
DB04853,2169
DB05009,2170
DB05562,2171
DB11745,2173
DB12203,2174
DB11691,2175
DB15250,2181
DB06624,2182
DB12371,2183
DB11660,2184
DB12228,2185
DB11864,2186
DB13074,2187
DB18464,2189
DB12569,2191
DB11642,2192
DB12572,2193
DB05360,2194
DB12830,2198
DB12042,2200
DB16351,2201
DB06558,2202
DB12080,2206
DB06677,2208
DB06455,2209
DB06666,2211
DB04883,2212
DB11653,2213
DB12865,2215
DB14027,2216
DB04894,2219
DB12755,2220
DB11947,2222
DB11726,2223
DB06649,2224
DB11807,2225
DB12562,2227
DB05575,2229
DB06077,2230
DB12202,2252
DB12105,2279
DB12590,2280
DB06554,2281
DB05541,2282
DB11569,2283
DB11581,2285
DB01057,2289
DB12680,2292
DB05036,2296
DB08894,2299
DB04960,2312
DB04885,2313
DB06240,2314
DB11823,2315
DB06630,2317
DB12364,2320
DB12181,2321
DB06670,2325
DB13083,2326
DB14726,2327
DB08382,2329
DB06682,2330
DB12061,2331
DB11909,2332
DB11644,2333
DB06233,2334
DB08867,2335
DB11781,2336
DB06267,2337
DB02292,2339
DB06346,2342
DB13170,2344
DB11655,2346
DB12047,2347
DB06480,2348
DB11995,2349
DB06448,2351
DB12732,2353
DB05119,2354
DB12291,2356
DB11641,2358
DB12635,2360
DB11841,2362
DB14575,2363
DB11830,2366
DB12935,2367
DB05737,2370
DB11861,2371
DB11816,2374
DB05992,2375
DB07232,2376
DB11984,2381
DB08891,2382
DB12720,2384
DB12332,2385
DB11793,2388
DB11827,2390
DB11992,2391
DB11757,2392
DB01628,2393
DB04888,2394
DB08892,2396
DB06362,2397
DB05289,2401
DB05408,2402
DB12395,2403
DB00234,2403
DB12463,2404
DB12378,2405
DB11999,2406
DB12177,2407
DB11893,2409
DB06654,2410
DB08486,2412
DB12263,2413
DB06311,2414
DB05134,2416
DB04876,2417
DB12340,2419
DB06197,2420
DB06013,2423
DB12608,2424
DB12491,2427
DB11759,2429
DB12866,2430
DB12778,2431
DB11915,2432
DB11611,2434
DB12713,2435
DB12486,2436
DB05168,2437
DB11782,2438
DB12209,2439
DB12399,2443
DB04847,2444
DB11760,2446
DB06263,2447
DBSALT002614,2448
DB12305,2449
DB12008,2451
DB11682,2452
DB14881,2454
DB11942,2455
DB11717,2456
DB05219,2457
DB09061,2458
DB12236,2459
DB01041,2460
DB00480,2461
DB08910,2462
DB00922,2466
DB05087,2467
DB12758,2469
DB09242,2470
DB00786,2471
DB04878,2472
DB12273,2473
DB09213,2474
DB01349,2475
DB06393,2476
DB04903,2478
DB12204,2479
DB00293,2480
DB03516,2481
DB08439,2483
DB13919,193
DB06739,2485
DB06249,2486
DB05996,2537
DB06043,2544
DB06050,2613
DB09265,2651
DB12095,2340
DB11921,2656
DB00497,2663
DB13167,2664
DB04836,2666
DB01419,2667
DB13501,2669
DB04812,2671
DB11148,2673
DB13472,2679
DB01288,2688
DB01544,2689
DB08951,2693
DB01283,2695
DB09205,2703
DB04820,2704
DB04825,2710
DB13431,2711
DB00409,2716
DB06155,2718
DB06144,2719
DB06268,2720
