chembl_id,id
CHEMBL701,952
CHEMBL1337,953
CHEMBL1201037,954
CHEMBL1200585,955
CHEMBL806,956
CHEMBL1274,957
CHEMBL1201048,958
CHEMBL409,959
CHEMBL1395,960
CHEMBL1200623,961
CHEMBL2079587,962
CHEMBL1170,963
CHEMBL1200335,964
CHEMBL1200946,965
CHEMBL1200436,966
CHEMBL1201101,967
CHEMBL386630,968
CHEMBL1445,969
CHEMBL1082407,970
CHEMBL1200412,971
CHEMBL1516474,972
CHEMBL1729,973
CHEMBL1084172,974
CHEMBL714,975
CHEMBL1200444,976
CHEMBL1200893,977
CHEMBL1201061,978
CHEMBL1951071,979
CHEMBL1200405,980
CHEMBL1082607,981
CHEMBL1367605,982
CHEMBL1789842,983
CHEMBL1315867,984
CHEMBL3989693,985
CHEMBL3989798,986
CHEMBL1568057,987
CHEMBL1441059,988
CHEMBL1201153,989
CHEMBL1200920,990
CHEMBL1695,991
CHEMBL1201587,992
CHEMBL1471,993
CHEMBL1201782,994
CHEMBL231779,995
CHEMBL198362,996
CHEMBL1138,997
CHEMBL2096642,998
CHEMBL799,999
CHEMBL1200977,1000
CHEMBL89598,1001
CHEMBL1201573,1002
CHEMBL2095208,1003
CHEMBL2105662,1004
CHEMBL1742990,1005
CHEMBL1201823,1006
CHEMBL1789843,1007
CHEMBL2108035,1008
CHEMBL2108570,1009
CHEMBL1201574,1010
CHEMBL1201569,1011
CHEMBL1237023,1012
CHEMBL1201828,1013
CHEMBL1789844,1014
CHEMBL2108709,1015
CHEMBL451887,1016
CHEMBL325041,1017
CHEMBL1282,1018
CHEMBL1690,1019
CHEMBL122,1020
CHEMBL1316,1021
CHEMBL599,1022
CHEMBL1070,1023
CHEMBL865,1024
CHEMBL118,1025
CHEMBL622,1026
CHEMBL2218896,1027
CHEMBL465,1028
CHEMBL1668,1029
CHEMBL772,1030
CHEMBL1200515,1031
CHEMBL117785,1032
CHEMBL1083385,1033
CHEMBL1717,1034
CHEMBL398435,1035
CHEMBL1201773,1036
CHEMBL2108667,1037
CHEMBL1201576,1038
CHEMBL1201836,1039
CHEMBL1201604,1040
CHEMBL1134,1041
CHEMBL1200757,1042
CHEMBL1200641,1043
CHEMBL1200993,1044
CHEMBL1237099,1045
CHEMBL1200549,1046
CHEMBL1200722,1047
CHEMBL1200527,1048
CHEMBL1739,1049
CHEMBL984,1050
CHEMBL1200648,1051
CHEMBL983,1052
CHEMBL3989821,16
CHEMBL1200629,1053
CHEMBL1308,1054
CHEMBL1341,1055
CHEMBL1200733,1056
